gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromatin_change,change_score,combined_score
HAO1,17150.6425361639,-0.821225157843244,0.337084891726454,-2.43625620133005,0.0148401694284339,0.209990133645655,Tx-ReprPCWk,-2,-1.410612578921622
HAVCR1,6.7068719087709,4.12326932739072,1.69743155476774,2.42912258571445,0.0151354138958661,0.211910728046127,ReprPCWk-Tx,2,3.06163466369536
UBE2C,114.392678432056,1.74953959552344,0.725039007679784,2.41302823295285,0.0158205940326182,0.216223895121248,ReprPCWk-Tx,2,1.87476979776172
NDC80,102.185233860942,1.48816537203384,0.619143384450461,2.40358761703431,0.0162350759895372,0.218870066494462,Het-Tx,4,2.74408268601692
MOGAT1,19.9768107151964,-1.28893227891216,0.538526031891778,-2.39344470384152,0.0166909970438275,0.221561650498639,Tx-ReprPCWk,-2,-1.64446613945608
SAPCD2,22.2228750195994,1.11112188866918,0.465856479334542,2.38511631362598,0.0170737221702912,0.223013933028315,ReprPCWk-Tx,2,1.55556094433459
SLC35A3,1366.7149419762,-0.930116959119124,0.390434596220873,-2.38226060938756,0.0172067154578703,0.223609793225026,Tx-Het,-4,-2.465058479559562
CD83,209.032387783155,-0.735474807988483,0.30890149890111,-2.38093635221865,0.0172686953666645,0.223982853519454,Tx-ReprPCWk,-2,-1.3677374039942416
ANKMY1,331.805241346205,0.763592199252441,0.320949058883687,2.37916946043817,0.0173516970228249,0.224195471129845,Het-Tx,4,2.3817960996262206
CD163,2277.80449921121,-1.28555173217817,0.54049911122735,-2.3784529992269,0.0173854531323133,0.224344553359149,Tx-ReprPCWk,-2,-1.642775866089085
MSH2,451.714191364718,0.901121721311856,0.380139425864866,2.37050318909092,0.0177638906862394,0.22621117997406,Het-Tx,4,2.450560860655928
