gene,chromatin_change,change_score
CMYA5,Tx-ReprPCWk,-2
THBS4,Tx-ReprPCWk,-2
ZFYVE16,Tx-Het,-4
ATG10,Tx-Het,-4
ARB2A,Tx-Het,-4
KIAA0825,Tx-Het,-4
MCTP1,ReprPCWk-Tx,2
GIN1,Tx-Het,-4
EPB41L4A,Tx-ReprPCWk,-2
KCNN2,Tx-Het,-4
TICAM2,Tx-ReprPCWk,-2
CDO1,Tx-ReprPCWk,-2
CEP120,Tx-Het,-4
ZNF608,Tx-ReprPC,-3
RAPGEF6,Het-Tx,4
FNIP1,Het-Tx,4
SHROOM1,ReprPCWk-Tx,2
CATSPER3,Tx-Het,-4
KLHL3,Tx-Het,-4
SPATA24,ReprPCWk-Tx,2
APBB3,Tx-ReprPCWk,-2
PCDH1,Tx-ReprPCWk,-2
FGF1,ReprPCWk-Tx,2
NR3C1,Tx-Het,-4
SH3RF2,ReprPCWk-Tx,2
STK32A,ReprPCWk-Tx,2
DPYSL3,ReprPCWk-Tx,2
ABLIM3,Tx-ReprPCWk,-2
HAVCR1,ReprPCWk-Tx,2
SLIT3,Tx-ReprPCWk,-2
CREBRF,Tx-Het,-4
HRH2,Tx-ReprPC,-3
ARL10,Tx-ReprPCWk,-2
GPRIN1,ReprPCWk-Tx,2
PRR7,ReprPCWk-Tx,2
ZNF354B,Tx-Het,-4
ZNF454,Tx-Het,-4
ZNF354C,Tx-Het,-4
ADAMTS2,Tx-Het,-4
RNF130,Het-Tx,4
ZFP62,Het-Tx,4
EXOC2,Tx-Het,-4
ELOVL2,ReprPC-Tx,3
CD83,Tx-ReprPCWk,-2
DTNBP1,Tx-Het,-4
GMPR,Tx-ReprPCWk,-2
KIF13A,Het-Tx,4
NRSN1,ReprPCWk-Tx,2
CARMIL1,Tx-Het,-4
SLC17A4,Tx-ReprPCWk,-2
ZNF184,Het-Tx,4
ZNF165,Het-Tx,4
ZSCAN9,Het-Tx,4
ZNF311,Tx-ReprPCWk,-2
HLA-B,Tx-ReprPCWk,-2
PSMB9,ReprPC-Tx,3
MAPK13,ReprPCWk-Tx,2
ETV7,Tx-ReprPC,-3
UNC5CL,ReprPCWk-Tx,2
CDC5L,Het-Tx,4
SUPT3H,Het-Tx,4
CYP39A1,Tx-Het,-4
TNFRSF21,Het-Tx,4
CD2AP,Het-Tx,4
GSTA2,Tx-Het,-4
GSTA1,Tx-Het,-4
ZNF451,Tx-Het,-4
PRIM2,Tx-Het,-4
COL12A1,ReprPC-Tx,3
UBE3D,Tx-Het,-4
RNGTT,Tx-Het,-4
MMS22L,Het-Tx,4
LIN28B,ReprPCWk-Tx,2
QRSL1,Het-Tx,4
PDSS2,Tx-Het,-4
CEP57L1,Tx-Het,-4
METTL24,Tx-ReprPCWk,-2
CDK19,Tx-Het,-4
MFSD4B,Het-Tx,4
REV3L,Tx-Het,-4
NT5DC1,Tx-Het,-4
MAN1A1,ReprPCWk-Tx,2
RNF217,Tx-Het,-4
AKAP7,Tx-Het,-4
VNN1,Tx-Het,-4
SHPRH,Tx-Het,-4
STXBP5,Tx-Het,-4
IYD,Tx-ReprPCWk,-2
SYNE1,Tx-ReprPCWk,-2
IPCEF1,Tx-ReprPCWk,-2
ARID1B,Het-Tx,4
ZDHHC14,Tx-Het,-4
SOD2,Tx-Het,-4
IGF2R,Het-Tx,4
SLC22A1,Tx-Het,-4
AGPAT4,Tx-ReprPC,-3
DNAAF5,Het-Tx,4
C7orf50,Het-Tx,4
ZNF853,ReprPC-Tx,3
GLCCI1,Tx-Het,-4
CRPPA,Tx-Het,-4
SNX13,Tx-Het,-4
HDAC9,ReprPCWk-Tx,2
SP4,Tx-Het,-4
IGF2BP3,ReprPC-Tx,3
FAM221A,Tx-Het,-4
HIBADH,Tx-Het,-4
CREB5,Tx-ReprPCWk,-2
ANLN,ReprPCWk-Tx,2
GPR141,ReprPCWk-Tx,2
GLI3,Tx-ReprPCWk,-2
NUDCD3,Het-Tx,4
IGFBP3,ReprPC-Tx,3
GRB10,Tx-ReprPCWk,-2
ZNF117,Tx-Het,-4
TPST1,Tx-Het,-4
TYW1,Tx-Het,-4
STX1A,ReprPCWk-Tx,2
CLIP2,Het-Tx,4
GTF2I,Het-Tx,4
CCDC146,Tx-Het,-4
PHTF2,Het-Tx,4
HGF,ReprPCWk-Tx,2
GTPBP10,Tx-Het,-4
CDK6,Het-Tx,4
VPS50,Tx-Het,-4
SGCE,ReprPCWk-Tx,2
PPP1R9A,Het-Tx,4
DLX6,ReprPCWk-Tx,2
SDHAF3,Tx-Het,-4
LMTK2,Het-Tx,4
ZNF394,Het-Tx,4
CYP3A7,Tx-Het,-4
ZKSCAN1,Tx-Het,-4
PCOLCE,Tx-ReprPCWk,-2
SERPINE1,ReprPCWk-Tx,2
COL26A1,Tx-ReprPCWk,-2
SH2B2,Tx-ReprPCWk,-2
ATXN7L1,ReprPCWk-Tx,2
COG5,Het-Tx,4
SAMTOR,Tx-Het,-4
AASS,Het-Tx,4
LRRC4,ReprPC-Tx,3
AHCYL2,Tx-Het,-4
UBE2H,Het-Tx,4
CHCHD3,Tx-Het,-4
AGBL3,Tx-Het,-4
CREB3L2,Tx-Het,-4
TRIM24,Het-Tx,4
AGK,Tx-Het,-4
LRRC61,ReprPCWk-Tx,2
GIMAP4,Tx-ReprPCWk,-2
GIMAP1,Tx-ReprPCWk,-2
AOC1,Tx-ReprPCWk,-2
AGAP3,ReprPCWk-Tx,2
RBM33,Het-Tx,4
SHH,Tx-ReprPC,-3
FBXO25,Het-Tx,4
TNKS,Tx-Het,-4
TRMT9B,Tx-ReprPCWk,-2
DLC1,ReprPCWk-Tx,2
FGL1,Tx-Het,-4
TNFRSF10B,Tx-Het,-4
TNFRSF10D,ReprPCWk-Tx,2
TNFRSF10A,Het-Tx,4
DPYSL2,ReprPCWk-Tx,2
PTK2B,Tx-Het,-4
EPHX2,Het-Tx,4
PBK,ReprPCWk-Tx,2
ELP3,Het-Tx,4
ZNF395,ReprPCWk-Tx,2
HMBOX1,Tx-Het,-4
DUSP4,Tx-ReprPCWk,-2
GTF2E2,Het-Tx,4
NRG1,Tx-ReprPC,-3
ADGRA2,Tx-ReprPC,-3
GPAT4,Het-Tx,4
SLC20A2,Het-Tx,4
TCEA1,Het-Tx,4
TTPA,Tx-Het,-4
YTHDF3,Het-Tx,4
MTFR1,Tx-Het,-4
SGK3,Tx-Het,-4
PRDM14,ReprPC-Tx,3
LACTB2,Tx-Het,-4
ZFHX4,Tx-ReprPCWk,-2
ZC2HC1A,Het-Tx,4
MRPS28,Tx-Het,-4
WWP1,Tx-Het,-4
RMDN1,Tx-Het,-4
CIBAR1,Tx-Het,-4
CPQ,Tx-Het,-4
DPYS,Tx-Het,-4
DEPTOR,Tx-Het,-4
SNTB1,Het-Tx,4
FBXO32,Tx-ReprPCWk,-2
NSMCE2,Tx-Het,-4
ST3GAL1,Het-Tx,4
PTK2,Het-Tx,4
SLC45A4,Tx-ReprPC,-3
TOP1MT,Tx-Het,-4
ARHGAP39,ReprPC-Tx,3
ZNF251,Het-Tx,4
ZNF7,Tx-Het,-4
ZNF250,Het-Tx,4
CD274,Tx-ReprPCWk,-2
RIC1,Tx-Het,-4
ZDHHC21,Tx-Het,-4
DENND4C,Tx-Het,-4
MTAP,Het-Tx,4
TEK,Tx-ReprPCWk,-2
AQP3,Tx-ReprPCWk,-2
CCL27,Tx-ReprPCWk,-2
IL11RA,Tx-ReprPCWk,-2
MELK,Het-Tx,4
SHB,Het-Tx,4
MAMDC2,Tx-Het,-4
SMC5,Het-Tx,4
